Team,P,W,D,L,GF,GA,GD,Pts,Notes
Horncastle 1,22,22,0,0,143,24,119,66,P
Wisbech Town 3,22,17,1,4,71,40,31,52,P
Rutland 2,22,15,2,5,101,37,64,47,P
Ely City 2,22,14,2,6,98,39,59,44,
M2,22,12,3,7,49,34,15,39,
Long Sutton 2,22,9,4,9,61,45,16,31,
Spalding 2,22,8,3,11,57,78,-21,27,
St Neots 2,22,6,4,12,51,88,-37,22,
Bourne 2,22,6,3,13,35,88,-53,21,
City of Peterborough 6,22,5,0,17,40,86,-46,15,
Cambridge City 5,22,3,1,18,32,104,-72,10,R
March Town 3,22,3,1,18,27,102,-75,10,R
