Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 5,16,14,0,2,116,14,102,42,
M4,16,13,2,1,52,17,35,41,
Cambridge Nomads 3,16,10,0,6,41,26,15,30,
Ely City 3,16,10,0,6,49,35,14,30,
St Neots 4,16,8,1,7,24,38,-14,25,
St Neots 3,16,6,3,7,29,38,-9,21,
M5,16,3,1,12,16,58,-42,10,
St Ives 5,16,3,0,13,12,51,-39,9,
Ely City 4,16,1,1,14,8,70,-62,4,
