Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,22,18,3,1,118,35,83,57,P
Alford & District 1,22,17,0,5,147,40,107,51,P
Spalding 3,22,14,2,6,78,51,27,44,
March Town 3,22,13,1,8,91,77,14,40,
City of Peterborough 7,22,12,1,9,57,67,-10,37,
Market Deeping 3,22,10,3,9,57,67,-10,33,R
Cambridge City 5,22,10,2,10,64,66,-2,32,
Cambridge Nomads 3,22,9,0,13,48,85,-37,27,
Wisbech Town 4,22,8,2,12,51,77,-26,26,
Rutland 3,22,7,0,15,71,111,-40,21,
M3,22,4,2,16,35,61,-26,14,R
St Neots 3,22,1,2,19,38,118,-80,5,R
