Team,P,W,D,L,GF,GA,GD,Pts,Notes
Long Sutton 2,20,17,1,2,105,28,77,52,P
Bourne Deeping 2,20,16,2,2,64,25,39,50,P
St Ives 2,20,13,5,2,69,28,41,44,P
Horncastle 1,20,12,2,6,80,44,36,38,
Spalding 2,20,11,2,7,66,40,26,35,
City of Peterborough 6,20,8,3,9,56,59,-3,27,
City of Peterborough 7,20,6,3,11,45,55,-10,21,
March Town 2,20,5,1,14,61,85,-24,16,
St Neots 2,20,4,1,15,39,82,-43,13,
March Town 3,20,4,0,16,34,114,-80,12,R
Spalding 3,20,3,2,15,37,96,-59,11,R
