Team,P,W,D,L,GF,GA,GD,Pts,Notes
Boston 1,22,17,2,3,73,19,54,53,P
Cambridge City 4,22,16,4,2,77,29,48,52,P
St Ives 3,22,16,1,5,78,27,51,49,
St Ives 4,22,13,2,7,49,39,10,41,
Wisbech Town 2,22,10,1,11,46,45,1,31,
March Town 2,22,9,3,10,40,60,-20,30,
Cambridge Nomads 3,22,7,6,9,32,42,-10,27,
Spalding 2,22,7,4,11,41,37,4,25,
Alford & District 1,22,5,4,13,27,69,-42,19,
Peterborough Town 4,22,4,4,14,29,59,-30,16,
Ely City 2,22,4,4,14,22,58,-36,16,R
Newmarket 1,22,4,5,13,25,55,-30,14,R
