Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,12,9,2,1,53,16,37,29,
Bedford Town 5,12,9,0,3,41,16,25,27,
M2,12,7,2,3,33,19,14,23,
Cambridge City 4,12,6,2,4,33,22,11,19,1D
Peterborough Athletic 3,12,4,0,8,24,42,-18,12,
Boston 2,12,3,0,9,15,46,-31,9,
St Ives 4,12,1,0,11,13,51,-38,3,
