Team,P,W,D,L,GF,GA,GD,Pts,Notes
Alford & District 2,16,9,5,2,47,17,30,32,P
Peterborough Town 5,16,10,2,4,52,31,21,32,P
March Town 5,16,8,5,3,41,20,21,29,
Market Deeping 3,16,9,1,6,50,43,7,28,
Wisbech Town 5,16,6,2,8,33,39,-6,20,
Bourne 5,16,5,4,7,36,40,-4,19,
Peterborough Town 6,16,6,1,9,29,49,-20,19,
Ely City 4,16,4,1,11,23,54,-31,13,
St Neots 5,16,3,3,10,21,39,-18,12,
