Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 3,22,16,2,4,59,37,22,50,P
March Town 1,22,14,5,3,80,27,53,47,
Long Sutton 2,22,13,5,4,63,40,23,44,
Horncastle 1,22,12,6,4,59,37,22,42,
St Ives 2,22,12,5,5,51,36,15,41,
Cambridge University 3,22,11,3,8,50,42,8,36,
Ely City 1,22,7,4,11,30,41,-11,25,
St Neots 2,22,6,5,11,33,60,-27,23,
Cambridge Nomads 2,22,6,3,13,38,44,-6,21,
Bourne 3,22,5,6,11,46,64,-18,21,
M1,22,3,2,17,25,64,-39,11,R
Market Deeping 1,22,3,2,17,29,71,-42,11,R
