Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 4,18,15,0,3,75,25,50,45,P
March Town 3,18,12,1,5,53,28,25,37,
Cambridge City 5,18,11,1,6,47,30,17,34,P
St Neots 4,18,9,0,9,32,35,-3,27,
Cambridge Nomads 4,18,4,4,10,22,39,-17,16,
St Ives 5,18,4,3,11,23,49,-26,14,"R, 1D"
Ely City 4,18,2,3,13,11,57,-46,9,R
