Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 3,16,11,3,2,53,10,43,36,P
Spalding 1,16,9,3,4,56,22,34,30,
Cambridge University 3,16,9,2,5,47,19,28,29,
St Ives 2,16,7,4,5,24,27,-3,25,
L1,16,5,6,5,24,23,1,21,
Sawtry 1,16,5,2,9,20,42,-22,17,
Wisbech Town 2,16,5,2,9,18,42,-24,17,
Market Deeping 1,16,3,6,7,21,29,-8,15,R
Huntingdon 1,16,3,2,11,24,73,-49,11,R
