Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 2,16,16,0,0,88,5,83,48,P
March Town 1,16,10,1,5,40,26,14,31,P
St Neots 4,16,10,0,6,48,45,3,30,
City of Peterborough 4,16,7,3,6,48,31,17,24,
Rutland 2,16,7,2,7,35,30,5,23,
Newmarket 3,16,5,4,7,23,39,-16,19,
Huntingdon 2,16,3,3,10,22,42,-20,12,
Ely City 3,16,2,5,9,12,39,-27,11,
Wisbech Town 3,16,2,2,12,11,70,-59,8,
