Team,P,W,D,L,GF,GA,GD,Pts,Notes
Alford & District 2,14,12,1,1,57,16,41,37,P
Cambridge Nomads 4,14,9,2,3,38,23,15,29,P
March Town 4,14,8,3,3,46,40,6,27,
Spalding 3,14,8,0,6,38,33,5,24,
Long Sutton 4,14,6,1,7,27,36,-9,19,
Ely City 3,14,3,1,10,29,43,-14,10,
Peterborough Town 5,14,3,0,11,22,46,-24,9,R
Bourne 4,14,2,2,10,26,46,-20,8,R
