Team,P,W,D,L,GF,GA,GD,Pts,Notes
Boston 1,22,16,1,5,64,45,19,49,P
Alford & District 1,22,15,0,7,79,37,42,45,P
St Neots 2,22,12,3,7,68,47,21,39,
St Ives 2,22,11,5,6,50,37,13,38,
Spalding 2,22,9,5,8,49,52,-3,32,
Market Deeping 2,22,9,4,9,54,53,1,31,
City of Peterborough 5,22,8,5,9,37,38,-1,29,
Ely City 2,22,8,3,11,58,62,-4,27,
Cambridge City 5,22,6,4,12,37,52,-15,22,
St Ives 3,22,6,4,12,37,61,-24,22,
Wisbech Town 3,22,6,3,13,46,67,-21,21,R
Peterborough Exiles 1,22,5,5,12,40,68,-28,20,R
