Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 4,21,17,1,3,91,32,59,49,P
March Town 2,22,14,4,4,69,28,41,46,P
Ely City 2,22,15,1,6,78,45,33,46,P
Wisbech Town 3,21,12,4,5,75,41,34,40,
Peterborough Athletic 3,22,11,6,5,42,35,7,39,
Long Sutton 3,22,10,5,7,49,46,3,35,
St Neots 3,22,9,3,10,53,55,-2,30,
Market Deeping 2,22,8,4,10,43,52,-9,28,
Peterborough Town 5,22,4,6,12,26,53,-27,18,
Spalding 3,22,3,4,15,22,65,-43,13,
Cambridge City 5,22,4,2,16,33,68,-35,12,R
Boston 2,22,3,2,17,26,87,-61,11,R
