Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 2,22,18,3,1,103,25,78,57,
Louth 1,22,16,5,1,83,23,60,53,
Horncastle 1,22,14,2,6,95,46,49,44,
City of Peterborough 7,22,13,2,7,69,52,17,41,
Bourne Deeping 3,22,9,6,7,57,43,14,33,
Cambridge Nomads 2,22,9,2,11,60,55,5,29,
City of Peterborough 6,22,9,0,13,64,56,8,27,
Alford & District 1,22,7,1,14,53,88,-35,22,
St Neots 2,22,6,4,12,48,88,-40,22,
St Ives 3,22,6,3,13,36,77,-41,21,
March Town 2,22,5,2,15,37,99,-62,17,
M3,22,4,2,16,32,85,-53,14,
