Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Ives 4,20,17,3,0,114,16,98,54,P
Spalding 3,20,15,3,2,121,21,100,48,P
March Town 3,20,14,0,6,73,33,40,42,
Cambridge Nomads 4,20,11,5,4,53,28,25,38,
Cambridge City 5,20,9,5,6,65,36,29,32,
Ely City 4,22,9,5,8,59,49,10,32,
St Ives 5,20,8,3,9,49,44,5,27,
Wisbech Town 4,20,7,3,10,54,61,-7,24,
M3,22,8,2,12,45,59,-14,24,2D
St Neots 5,20,4,4,12,21,66,-45,16,
Alford & District 2,20,5,3,12,31,85,-54,16,2D
March Town 4,20,3,2,15,25,133,-108,11,
Peterborough Town 6,20,2,2,16,22,101,-79,7,1D
