Team,P,W,D,L,GF,GA,GD,Pts,Notes
M1,22,20,1,1,98,23,75,61,
Cambridge University 3,22,17,2,3,104,38,66,50,(-3)
Ely City 1,22,15,2,5,76,42,34,47,
St Neots 1,22,14,2,6,68,42,26,44,
Cambridge City Vets,22,10,4,8,54,47,7,34,
Horncastle 1,22,9,3,10,62,58,4,30,
Bourne Deeping 2,22,8,3,11,52,51,1,27,
Wisbech Town 2,22,8,1,13,43,70,-27,25,
Louth 1,22,5,3,14,44,77,-33,18,
Long Sutton 2,22,6,0,16,53,110,-57,18,
City of Peterborough 5,22,5,1,16,38,88,-50,16,
St Ives 2,22,3,2,17,35,81,-46,11,
