Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge Ladies 2,14,12,0,2,68,11,57,36,P
L2,14,8,1,5,48,19,29,25,P
Wisbech Town 3,14,7,2,5,29,26,3,23,
Rutland 1,14,7,0,7,30,27,3,21,
Market Deeping 2,14,7,0,7,29,31,-2,21,
Huntingdon 2,14,7,0,7,25,30,-5,21,
St Neots 4,14,4,1,9,17,29,-12,13,
Ely City 2,14,2,0,12,8,81,-73,6,
