Team,P,W,D,L,GF,GA,GD,Pts,Notes
City of Peterborough 4,14,11,3,0,67,15,52,36,P
Rutland 2,14,8,1,5,47,27,20,25,P
Spalding 3,14,8,1,5,36,23,13,25,
St Neots 3,14,7,3,4,41,24,17,24,
Wisbech Town 3,14,7,2,5,20,21,-1,23,
Huntingdon 2,14,5,0,9,31,46,-15,15,
Newmarket 3,14,3,2,9,13,40,-27,11,
Ely City 3,14,0,2,12,3,62,-59,2,
