Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Neots 3,22,17,2,3,103,34,69,53,P
Ely City 2,22,15,3,4,62,32,30,48,P
March Town 3,22,14,3,5,96,41,55,45,P
Peterborough Athletic 3,21,10,4,7,49,43,6,34,
Market Deeping 2,22,8,7,7,46,45,1,31,
Long Sutton 3,22,10,0,12,43,56,-13,30,
Peterborough Town 4,22,9,1,12,52,78,-26,28,
St Ives 4,21,8,3,10,59,62,-3,27,
Alford & District 1,22,8,2,12,42,50,-8,26,
M2,22,5,5,12,40,69,-29,20,
Ely City 3,22,5,3,14,24,72,-48,18,R
Spalding 3,22,5,1,16,38,72,-34,16,R
