Team,P,W,D,L,GF,GA,GD,Pts,Notes
Peterborough Town 2,16,16,0,0,97,7,90,48,P
Cambridge Ladies 1,16,12,1,3,52,19,33,37,
Cambridge University 3,16,11,0,5,52,34,18,33,
Ely City 1,16,9,1,6,31,34,-3,28,
St Ives 2,16,6,3,7,21,33,-12,21,
Bourne 2,16,5,2,9,16,37,-21,17,
Cambridge City 3,16,4,1,11,25,40,-15,13,
St Ives 3,16,3,1,12,11,60,-49,10,
Huntingdon 1,16,1,1,14,19,60,-41,4,R
