Team,P,W,D,L,GF,GA,GD,Pts,Notes
Wisbech Town 4,21,18,2,1,91,17,74,56,P
Horncastle 3,21,14,4,3,80,23,57,46,P
Cambridge Nomads 4,21,11,4,6,50,36,14,37,P
Alford & District 2,21,11,0,10,58,41,17,33,
Bourne 5,21,9,4,8,50,47,3,31,
March Town 5,21,4,4,13,30,62,-32,16,
Peterborough Town 6,21,4,2,15,27,85,-58,14,
Ely City 4,21,2,2,17,21,96,-75,8,
