Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 1,16,13,1,2,69,23,46,40,P
Newmarket 1,16,11,1,4,69,29,40,34,
Cambridge University 3,16,9,3,4,61,27,34,30,
Rutland 1,16,9,2,5,40,46,-6,29,
Wisbech Town 2,16,8,1,7,43,47,-4,25,
L1,16,6,0,10,30,53,-23,18,
St Ives 2,16,3,3,10,23,48,-25,12,
Sawtry 1,16,2,4,10,28,53,-25,10,
City of Peterborough 3,16,2,3,11,22,59,-37,9,R
