Team,P,W,D,L,GF,GA,GD,Pts,Notes
Cambridge City 4,14,12,0,2,65,9,56,36,P
Huntingdon 2,14,11,1,2,55,8,47,34,P
Saffron Walden 3,14,9,2,3,65,13,52,29,
March Town 3,14,9,0,5,43,17,26,27,
Bourne 3,14,5,2,7,22,42,-20,17,
Peterborough Town 4,14,4,2,8,18,30,-12,14,
Wisbech Town 3,14,2,1,11,5,90,-85,7,
Ely City 2,14,0,0,14,4,68,-64,0,
