Team,P,W,D,L,GF,GA,GD,Pts,Notes
Newmarket 1,16,11,2,3,51,12,39,35,
L1,16,10,4,2,51,18,33,34,
Cambridge City 3,16,11,0,5,45,16,29,33,
St Ives 2,16,10,2,4,33,18,15,32,
Cambridge University 3,16,9,3,4,48,25,23,30,
Huntingdon 1,16,6,1,9,23,30,-7,19,
Cambridge Nomads 2,16,3,1,12,12,49,-37,10,
Newmarket 2,16,2,2,12,13,73,-60,8,
Haverhill Ladies 2,16,1,3,12,10,45,-35,6,
