Team,P,W,D,L,GF,GA,GD,Pts,Notes
Bourne Deeping 1,22,18,3,1,94,24,70,57,P
City of Peterborough 4,22,18,3,1,83,25,58,57,P
Spalding 1,22,18,2,2,129,44,85,56,P
M1,22,14,4,4,63,28,35,46,
Wisbech Town 2,22,11,3,8,64,53,11,36,
Ely City 2,22,8,3,11,46,63,-17,27,
Wisbech Town 3,22,8,1,13,41,68,-27,25,
Cambridge City 4,22,6,2,14,43,90,-47,20,
M2,22,5,4,13,26,58,-32,19,
St Neots 1,22,3,5,14,27,66,-39,14,
Rutland 2,22,3,2,17,39,85,-46,11,R
St Ives 2,22,2,4,16,30,81,-51,10,R
