Team,P,W,D,L,GF,GA,GD,Pts,Notes
St Ives 1,21,19,0,2,70,23,47,57,P
Cambridge City 4,22,17,1,4,88,24,64,52,P
Cambridge Nomads 2,22,15,4,3,81,29,52,48,1D
Market Deeping 1,22,11,6,5,69,46,23,39,
City of Peterborough 4,22,10,3,9,46,41,5,33,
M1,22,10,1,11,56,56,0,31,
Rutland 1,22,7,4,11,51,74,-23,25,
Bourne 2,22,7,2,13,49,60,-11,23,
Long Sutton 2,21,7,2,12,33,92,-59,23,
March Town 2,22,5,4,13,66,87,-21,19,
St Neots 2,22,2,6,14,29,67,-38,12,R
Spalding 2,22,3,3,16,35,74,-39,12,R
