Team,P,W,D,L,GF,GA,GD,Pts,Notes
Market Deeping 2,22,18,3,1,77,26,51,57,P
City of Peterborough 5,22,17,1,4,96,33,63,52,P
St Ives 2,22,15,5,2,76,28,48,50,P
St Neots 2,22,14,2,6,79,36,43,44,
Horncastle 1,22,13,3,6,73,53,20,42,
Ely City 2,22,9,4,9,80,62,18,31,
Spalding 2,22,6,5,11,56,72,-16,23,
Long Sutton 2,22,6,3,13,40,56,-16,21,
City of Peterborough 6,22,6,1,15,39,74,-35,19,
Cambridge City 5,22,5,3,14,26,87,-61,18,
St Ives 3,22,5,1,16,39,64,-25,16,R
Cambridge Nomads 3,22,2,1,19,15,105,-90,7,R
