Team,P,W,D,L,GF,GA,GD,Pts,Notes
March Town 1,22,20,0,2,98,23,75,60,P
Cambridge University 3,22,16,1,5,71,39,32,49,P
St Ives 1,22,14,2,6,58,37,21,44,
Ely City 1,22,12,2,8,64,33,31,38,
Horncastle 1,22,12,1,9,58,41,17,37,
St Neots 2,22,11,3,8,45,40,5,36,
Cambridge Nomads 2,22,9,3,10,48,54,-6,30,
Long Sutton 2,22,9,1,12,45,52,-7,28,
St Ives 2,22,7,4,11,32,49,-17,25,
Boston 1,22,5,2,15,39,77,-38,17,R
Bourne 3,22,4,4,14,44,74,-30,16,R
Cambridge City 4,22,0,3,19,11,94,-83,3,R
