Team,P,W,D,L,GF,GA,GD,Pts,Notes
Leadenham 1,22,21,1,0,125,13,+112,64,
Cambridge City 5,22,17,1,4,113,33,+80,52,
March Town 2,22,14,2,6,99,67,+32,41,(-3)
M3,22,13,2,7,80,38,+42,38,(-3)
Spalding 4,22,12,2,8,59,61,-2,38,
Bourne Deeping 4,22,11,4,7,77,49,+28,37,
St Ives 4,22,7,2,13,51,84,-33,23,
Long Sutton 3,22,7,1,14,56,70,-14,22,
Wisbech Town 4,22,7,1,14,46,84,-38,16,(-6)
M4,22,5,0,17,29,78,-49,12,(-3)
Horncastle 2,22,8,0,14,60,90,-30,9,(-15)
Alford & District 2,22,2,0,20,17,145,-128,   3,(-3)
