Team,P,W,D,L,GF,GA,GD,Pts,Notes
City of Peterborough 6,18,14,2,2,75,25,50,44,P
Market Deeping 3,18,12,2,4,61,41,20,38,P
Spalding 3,18,11,2,5,65,41,24,35,
March Town 4,18,7,3,8,47,41,6,24,
Ely City 3,18,7,1,10,31,38,-7,22,
Horncastle 2,18,7,1,10,33,49,-16,22,
Rutland 2,18,6,3,9,49,41,8,21,
St Neots 4,18,7,0,11,38,52,-14,21,
Spalding 4,18,5,3,10,22,55,-33,18,R
Long Sutton 4,18,5,1,12,33,71,-38,16,R
