Team,P,W,D,L,GF,GA,GD,Pts,Notes
Spalding 3,14,10,2,2,56,18,38,32,
Huntingdon 2,14,9,1,4,34,12,22,28,
March Town 1,14,8,2,4,43,17,26,26,
City of Peterborough 4,14,8,2,4,34,13,21,26,
St Neots 3,14,8,1,5,34,15,19,25,
Wisbech Town 3,14,6,0,8,21,28,-7,18,
Newmarket 3,14,2,0,12,13,73,-60,6,
Ely City 3,14,1,0,13,5,64,-59,3,
