Team,P,W,D,L,GF,GA,GD,Pts,Notes
Louth 1,22,17,1,4,83,27,56,52,P
Boston 1,22,17,0,5,84,34,50,51,R
M3,22,15,3,4,70,31,39,48,P
St Ives 3,22,15,1,6,82,41,41,46,P
Bourne Deeping 3,22,11,2,9,68,49,19,35,P
Bourne Deeping 4,22,11,2,9,67,60,7,35,
Newmarket 2,22,9,2,11,52,63,-11,29,
Wisbech Town 4,22,9,1,12,47,70,-23,28,
St Ives 4,22,7,2,13,42,56,-14,23,
Grantham 1,22,6,2,14,29,60,-31,20,R
Ely City 3,22,4,3,15,43,74,-31,15,R
Cambridge Nomads 3,22,0,3,19,15,117,-102,3,R
