Team,P,W,D,L,GF,GA,GD,Pts,Notes
M3,18,16,0,2,72,13,59,48,P
Newmarket 2,18,14,2,2,59,19,40,44,P
St Neots 4,18,10,3,5,54,43,11,33,
City of Peterborough 8,18,9,4,5,61,49,12,31,
March Town 4,18,8,1,9,43,52,-9,25,
St Neots 3,18,6,2,10,32,39,-7,20,
Bourne Deeping 5,18,5,2,11,48,58,-10,17,
M4,18,5,1,12,34,67,-33,16,
St Ives 5,18,4,3,11,33,48,-15,15,
Ely City 4,18,4,0,14,20,68,-48,12,
